,author_id,text,created_at,id,retweet_count,reply_count,like_count,quote_count
0,1088261225153060864,"🧑‍🎓Los emprendedores y profesionales digitales del futuro han venido a visitarnos hoy

Los alumnos de @TheBridge_Tech han visto cómo trabaja un fondo VC y han mostrado su interés por conocer qué grandes desafíos resuelven nuestras #startups #deeptech 

Mucho #talento en el Ágora https://t.co/FaCriTMOGw",2022-07-13T14:45:06.000Z,1547230643561664515,1,0,2,0
1,1232276995796586499,"Hoy hemos tenido una súper visita a nuestras oficinas @TheBridge_Tech👉primera Aceleradora de Talento Digital. 
Hemos podido presentar @GoHubVentures  y compartir nuestros HQ con 26 de sus estudiantes y profesores
Con muchas ganas de seguir colaborando con ellos en el futuro! https://t.co/g9MzrP2hdq",2022-07-13T13:22:40.000Z,1547209900874506241,1,0,3,0
2,1162694149956603904,¡Descubre la experiencia de Dani! ▶ Dani estudió una #fp en #desarrolloweb pero tenía claro que quería especializarse en #ciberseguridad 👾y realizó el #bootcamp en @TheBridge_Tech ¡Fue complemento perfecto para conseguir un empleo en el sector!🎯 https://t.co/eimTUd6rUc,2022-07-12T11:22:45.000Z,1546817334882476032,2,0,0,0
3,1085383992,#VentureCapital/#PrivateEquity: @TheBridge_Tech cierra una ronda de €5M liderada por Atitlan https://t.co/iDnOZ5z5g8,2022-07-11T07:34:21.000Z,1546397466517540866,0,0,0,0
4,27890913,"#Inversiones 💰💰

@TheBridge_Tech ha cerrado una ronda de 5M€ 👀

PRINCIPAL INVERSOR
✔#Atitlan 

⬇⬇
https://t.co/2owefjS98d",2022-07-07T10:16:04.000Z,1544988613129261056,0,0,0,0
5,190658967,"#SAVETHEDATE 🚩| @TheBridge_Tech pone en marcha un #bootcamp orientado a formar en dos de las disciplinas que más están creciendo en España: #Cloud #Computing &amp; #DevOps☁️

📆12 de septiembre
🕔 Full-time
⬇️ https://t.co/FJ1IzSpro2",2022-07-06T08:12:00.000Z,1544595001086283778,1,0,0,0
6,89141857,"🤝🏼 @ceeivalencia y @TheBridge_Tech, primera aceleradora de talento digital, firman un convenio de colaboración: https://t.co/8neFc4j8i4

🎯 Complementar la formación técnica del nuevo talento, entre sus principales objetivos.",2022-07-05T17:30:15.000Z,1544373102997655552,0,0,0,0
7,196056785,"📲 ""De aquí al 2025 se van a crear 400.000 #empleos en el ámbito #tecnológico y para cubrirlos será necesaria una #formación específica como el modelo #bootcamp"", asegura Noya Fernández desde 
@TheBridge_Tech. https://t.co/OOo9BTkLKH",2022-07-05T08:07:03.000Z,1544231368896532480,2,0,2,0
8,196056785,🔴 Todo preparado en @TheBridge_Tech para la presentación de la nueva metodología de employer branding 5.0 de ATREVIA para ayudar a las empresas a captar #talento. https://t.co/8jYPDDvni2,2022-07-05T07:37:01.000Z,1544223809112350723,2,0,2,0
9,89141857,"🤝🏼 @ceeivalencia y @TheBridge_Tech, primera aceleradora de talento digital, firman un convenio de colaboración: https://t.co/8neFc4j8i4

🎯 Complementar la formación técnica del nuevo talento, entre sus principales objetivos.",2022-07-02T07:30:07.000Z,1543134908935200769,0,0,2,0
10,1018473762902114304,"@HeavyMental_es @TheBridge_Tech Por favor, a ver si podeis empezar a mejorar el sonido. Muchas veces el primer paso es más de la mitad del camino",2022-07-01T17:52:23.000Z,1542929123546464261,0,0,0,0
11,874916978665938945,"Atitlan liderará la ronda de financiación de 5 millones de euros de la escuela @TheBridge_Tech 💰

La empresa de formación de #talento ha irrumpido en el sector de la educación poniendo el foco en la #digitalización y las nuevas tecnologías 📚
https://t.co/YoTetHhIKx",2022-07-01T15:09:00.000Z,1542888003965689858,0,0,4,0
12,604485175,"Adeus ríos, adeus fontes...Terriña, volvo pronto. Madrid allá voy! Ya se ve cerca el final del bootcamp y voy a terminarlo de forma presencial. Un mes, un último empujón. @TheBridge_Tech",2022-07-01T07:55:46.000Z,1542778977718341632,1,1,5,0
13,284115545,"📢Nos alegra muchísimo contaros esta gran noticia: tendremos el placer de contar con @TheBridge_Tech, un acuerdo que nos permitirá ofrecer más herramientas para acelerar el talento digital a nuestras #startups 👏

@AmparoGalbis1 @RamonCEEIVLC 
https://t.co/Mkhinty1B6",2022-06-30T10:50:25.000Z,1542460541800783872,2,0,4,1
14,12085582,@NadaQueGanarPod Estais invitados desde ya a hacer el primero de la próxima en @TheBridge_Tech y no se que lios os traeis con @_miki pero si quereis combo hay hueco,2022-06-30T10:04:09.000Z,1542448899645968384,0,0,1,0
15,1073622740,"🤝 Gracias al convenio firmado con @TheBridge_Tech trabajaremos de forma conjunta en la realización de cursos, jornadas, actividades formativas, foros de discusión y asesoramiento mutuo en las acciones desarrolladas por ambas entidades. 

https://t.co/gNPhADnlkk",2022-06-30T07:51:21.000Z,1542415478618050560,0,0,1,0
16,1437833350732034050,"Hoy master class de 
@figma
 y UIX en @TheBridge_Tech 
https://t.co/fybYqXpUL6",2022-06-30T07:45:02.000Z,1542413891124301826,0,0,1,0
17,14661878,@HeavyMental_es @TheBridge_Tech Buscando el pollo 🐣,2022-06-29T20:07:27.000Z,1542238336894603265,0,0,1,0
18,10671232,@carlosmdh @HeavyMental_es @UbaldoHervas @DavidAlayon @Recuenco @GuillermoDeHaro @TheBridge_Tech https://t.co/Ig6QQ9fk47,2022-06-29T19:16:35.000Z,1542225533546762243,0,0,3,0
19,40046861,"@HeavyMental_es @UbaldoHervas @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Te me tienes que cuidar ehhhh

y por cierto, colleja por venir a Madrid, hacer un podcast en directo y no avisarme

Capullo!!!
🤣🤣🤣🤣",2022-06-29T19:16:03.000Z,1542225403242332161,0,1,4,0
20,1255794072280842240,@carlosmdh @UbaldoHervas @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Yes!! ;) ;),2022-06-29T19:12:24.000Z,1542224482710028291,0,1,3,0
21,40046861,@HeavyMental_es @UbaldoHervas @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech El segundo por la derecha de la primera fila es mikki?,2022-06-29T19:10:52.000Z,1542224097089822726,0,1,3,0
